N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.015,0
2,OPTIMAL_SOLUTION,9,0.014,33
3,OPTIMAL_SOLUTION,10,0.016,24
4,OPTIMAL_SOLUTION,11,0.032,304
5,OPTIMAL_SOLUTION,12,0.042,397
6,OPTIMAL_SOLUTION,13,0.05,366
7,OPTIMAL_SOLUTION,14,0.07,586
8,OPTIMAL_SOLUTION,15,0.066,444
9,OPTIMAL_SOLUTION,16,0.167,1807
10,OPTIMAL_SOLUTION,17,0.179,1370
11,OPTIMAL_SOLUTION,18,0.665,5284
12,OPTIMAL_SOLUTION,19,0.353,2409
13,OPTIMAL_SOLUTION,20,0.803,6884
14,OPTIMAL_SOLUTION,21,0.507,3702
15,OPTIMAL_SOLUTION,22,2.251,17598
16,OPTIMAL_SOLUTION,23,6.952,45772
17,OPTIMAL_SOLUTION,24,4.501,29343
18,OPTIMAL_SOLUTION,25,8.063,49078
19,OPTIMAL_SOLUTION,26,21.772,110935
20,OPTIMAL_SOLUTION,27,4.988,26249
21,OPTIMAL_SOLUTION,28,4.598,25654
22,OPTIMAL_SOLUTION,29,22.233,108378
23,OPTIMAL_SOLUTION,30,5.886,31278
24,OPTIMAL_SOLUTION,31,2.147,13129
25,SATISFIED,33,299.579,1134037
26,OPTIMAL_SOLUTION,33,52.352,239900
27,OPTIMAL_SOLUTION,34,3.758,19750
28,OPTIMAL_SOLUTION,35,10.734,58625
29,OPTIMAL_SOLUTION,36,15.838,69667
30,SATISFIED,38,299.586,976150
31,OPTIMAL_SOLUTION,38,0.956,3855
32,SATISFIED,40,299.445,817249
33,OPTIMAL_SOLUTION,40,1.294,3347
34,SATISFIED,40,299.579,1289605
35,SATISFIED,40,299.582,1381625
36,SATISFIED,40,299.574,1389610
37,SATISFIED,61,299.578,1085412
38,SATISFIED,60,299.541,1025501
39,SATISFIED,61,299.477,1018616
40,SATISFIED,92,298.695,363642
