N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.01,0
2,OPTIMAL_SOLUTION,9,0.014,25
3,OPTIMAL_SOLUTION,10,0.023,18
4,OPTIMAL_SOLUTION,11,0.035,304
5,OPTIMAL_SOLUTION,12,0.065,552
6,OPTIMAL_SOLUTION,13,0.062,422
7,OPTIMAL_SOLUTION,14,0.083,593
8,OPTIMAL_SOLUTION,15,0.079,445
9,OPTIMAL_SOLUTION,16,0.154,1303
10,OPTIMAL_SOLUTION,17,0.192,1236
11,OPTIMAL_SOLUTION,18,1.006,6061
12,OPTIMAL_SOLUTION,19,0.541,3226
13,OPTIMAL_SOLUTION,20,1.247,8973
14,OPTIMAL_SOLUTION,21,1.924,12028
15,OPTIMAL_SOLUTION,22,2.371,16133
16,OPTIMAL_SOLUTION,23,8.074,38853
17,OPTIMAL_SOLUTION,24,4.419,23651
18,OPTIMAL_SOLUTION,25,4.084,20929
19,OPTIMAL_SOLUTION,26,44.937,175294
20,OPTIMAL_SOLUTION,27,22.525,93105
21,SATISFIED,29,299.56,1120636
22,SATISFIED,30,299.533,1185973
23,OPTIMAL_SOLUTION,30,14.902,65369
24,OPTIMAL_SOLUTION,31,19.917,104476
25,SATISFIED,33,299.449,912650
26,OPTIMAL_SOLUTION,33,80.686,306295
27,OPTIMAL_SOLUTION,34,19.326,91030
28,OPTIMAL_SOLUTION,35,57.364,236118
29,OPTIMAL_SOLUTION,36,5.475,22644
30,SATISFIED,38,299.496,1015573
31,OPTIMAL_SOLUTION,38,3.206,17171
32,SATISFIED,40,299.49,1109853
33,OPTIMAL_SOLUTION,40,4.381,22761
34,SATISFIED,40,299.507,961239
35,SATISFIED,40,299.454,1001977
36,SATISFIED,40,299.433,1220430
37,SATISFIED,61,299.478,820485
38,SATISFIED,61,299.471,910317
39,SATISFIED,61,299.055,946223
40,SATISFIED,92,298.499,318071
