N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.015,0
2,OPTIMAL_SOLUTION,9,0.02,33
3,OPTIMAL_SOLUTION,10,0.022,24
4,OPTIMAL_SOLUTION,11,0.044,304
5,OPTIMAL_SOLUTION,12,0.089,397
6,OPTIMAL_SOLUTION,13,0.07,366
7,OPTIMAL_SOLUTION,14,0.087,586
8,OPTIMAL_SOLUTION,15,0.116,444
9,OPTIMAL_SOLUTION,16,0.238,1807
10,OPTIMAL_SOLUTION,17,0.289,1370
11,OPTIMAL_SOLUTION,18,0.981,5284
12,OPTIMAL_SOLUTION,19,0.526,2409
13,OPTIMAL_SOLUTION,20,1.222,6884
14,OPTIMAL_SOLUTION,21,0.788,3702
15,OPTIMAL_SOLUTION,22,3.521,17598
16,OPTIMAL_SOLUTION,23,11.21,45772
17,OPTIMAL_SOLUTION,24,6.961,29343
18,OPTIMAL_SOLUTION,25,9.962,49078
19,OPTIMAL_SOLUTION,26,28.82,110935
20,OPTIMAL_SOLUTION,27,6.169,26249
21,OPTIMAL_SOLUTION,28,5.688,25654
22,OPTIMAL_SOLUTION,29,27.55,108378
23,OPTIMAL_SOLUTION,30,7.377,31278
24,OPTIMAL_SOLUTION,31,2.745,13129
25,SATISFIED,33,299.53,909459
26,OPTIMAL_SOLUTION,33,64.677,239900
27,OPTIMAL_SOLUTION,34,4.656,19750
28,OPTIMAL_SOLUTION,35,13.547,58625
29,OPTIMAL_SOLUTION,36,19.07,69667
30,SATISFIED,38,299.505,943642
31,OPTIMAL_SOLUTION,38,0.973,3855
32,SATISFIED,40,299.409,902902
33,OPTIMAL_SOLUTION,40,1.293,3347
34,SATISFIED,40,299.433,1014712
35,SATISFIED,40,299.504,1091828
36,SATISFIED,40,299.481,1009804
37,SATISFIED,61,299.447,781688
38,SATISFIED,60,299.457,806759
39,SATISFIED,61,299.451,886750
40,SATISFIED,92,298.265,257894
