N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.027,4
2,OPTIMAL_SOLUTION,9,0.014,7
3,OPTIMAL_SOLUTION,10,0.016,13
4,OPTIMAL_SOLUTION,11,0.028,6
5,OPTIMAL_SOLUTION,12,0.048,285
6,OPTIMAL_SOLUTION,13,0.016,7
7,OPTIMAL_SOLUTION,14,0.02,1
8,OPTIMAL_SOLUTION,15,0.031,18
9,OPTIMAL_SOLUTION,16,0.039,189
10,OPTIMAL_SOLUTION,17,0.031,59
11,OPTIMAL_SOLUTION,18,0.309,1872
12,OPTIMAL_SOLUTION,19,0.268,2179
13,OPTIMAL_SOLUTION,20,0.391,3704
14,OPTIMAL_SOLUTION,21,0.419,2498
15,OPTIMAL_SOLUTION,22,0.282,821
16,OPTIMAL_SOLUTION,23,1.276,8412
17,OPTIMAL_SOLUTION,24,0.074,40
18,OPTIMAL_SOLUTION,25,0.859,4992
19,OPTIMAL_SOLUTION,26,45.922,211265
20,OPTIMAL_SOLUTION,27,10.34,64087
21,OPTIMAL_SOLUTION,28,4.892,29565
22,OPTIMAL_SOLUTION,29,11.457,46129
23,OPTIMAL_SOLUTION,30,0.89,2736
24,OPTIMAL_SOLUTION,31,1.09,4433
25,OPTIMAL_SOLUTION,32,75.779,256299
26,OPTIMAL_SOLUTION,33,137.233,607111
27,OPTIMAL_SOLUTION,34,2.584,11421
28,OPTIMAL_SOLUTION,35,2.224,11660
29,OPTIMAL_SOLUTION,36,3.213,11135
30,SATISFIED,38,299.358,791019
31,OPTIMAL_SOLUTION,38,0.435,2040
32,OPTIMAL_SOLUTION,39,50.105,198209
33,OPTIMAL_SOLUTION,40,2.018,9101
34,SATISFIED,40,299.32,1146993
35,SATISFIED,40,299.298,1004650
36,SATISFIED,40,299.491,971900
37,SATISFIED,60,299.325,799983
38,SATISFIED,60,299.322,798796
39,SATISFIED,60,299.355,760477
40,SATISFIED,92,299.551,524418
