N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.007,4
2,OPTIMAL_SOLUTION,9,0.007,7
3,OPTIMAL_SOLUTION,10,0.009,13
4,OPTIMAL_SOLUTION,11,0.009,6
5,OPTIMAL_SOLUTION,12,0.024,285
6,OPTIMAL_SOLUTION,13,0.013,7
7,OPTIMAL_SOLUTION,14,0.014,1
8,OPTIMAL_SOLUTION,15,0.016,18
9,OPTIMAL_SOLUTION,16,0.025,189
10,OPTIMAL_SOLUTION,17,0.023,59
11,OPTIMAL_SOLUTION,18,0.224,1872
12,OPTIMAL_SOLUTION,19,0.234,2179
13,OPTIMAL_SOLUTION,20,0.288,3704
14,OPTIMAL_SOLUTION,21,0.258,2498
15,OPTIMAL_SOLUTION,22,0.176,821
16,OPTIMAL_SOLUTION,23,1.033,8412
17,OPTIMAL_SOLUTION,24,0.041,40
18,OPTIMAL_SOLUTION,25,0.673,4992
19,OPTIMAL_SOLUTION,26,29.696,211265
20,OPTIMAL_SOLUTION,27,7.987,64087
21,OPTIMAL_SOLUTION,28,3.567,29565
22,OPTIMAL_SOLUTION,29,7.184,46129
23,OPTIMAL_SOLUTION,30,0.548,2736
24,OPTIMAL_SOLUTION,31,0.644,4433
25,OPTIMAL_SOLUTION,32,52.788,256299
26,OPTIMAL_SOLUTION,33,90.938,607111
27,OPTIMAL_SOLUTION,34,1.572,11421
28,OPTIMAL_SOLUTION,35,1.617,11660
29,OPTIMAL_SOLUTION,36,2.099,11135
30,OPTIMAL_SOLUTION,37,222.705,878910
31,OPTIMAL_SOLUTION,38,0.352,2040
32,OPTIMAL_SOLUTION,39,35.994,198209
33,OPTIMAL_SOLUTION,40,1.219,9101
34,SATISFIED,40,299.612,1728296
35,SATISFIED,40,299.598,1491762
36,SATISFIED,40,299.622,1460834
37,SATISFIED,60,299.594,1322802
38,SATISFIED,60,299.559,1349684
39,SATISFIED,60,299.585,1257907
40,SATISFIED,92,299.52,552840
